id,nama,x,y
174,SMPN 4 Pakem,110.417642,-7.669215
175,SPBU Concat - A,110.394935,-7.759985
176,SPBU Concat - B,110.395201,-7.759677
177,SPBU Kaliurang - A,110.408906,-7.710843
178,SPBU Kaliurang - B,110.408886,-7.710957
179,SPBU Mindi - A,110.431029,-7.704862
180,SPBU Mindi - B,110.431169,-7.704813
181,STIE YKPN - A,110.410413,-7.767023
182,STIE YKPN - B,110.410142,-7.768445
183,Stikes Guna Bangsa,110.408957,-7.760772
184,Superindo Jakal - A,110.384644,-7.752579
185,Superindo Jakal - B,110.384653,-7.752641
186,Susteran Novisiat,110.392154,-7.76613
187,Teknik UGM - A,110.374625,-7.764241
188,Teknik UGM - B,110.374704,-7.764118
189,Terminal Condongcatur,110.395875,-7.756625
190,Terminal Jombor,110.361238,-7.747405
191,Terminal Pakem,110.419988,-7.666865
192,Terminal Prambanan,110.489817,-7.755659
193,Timur Jembatan Yapah - A,110.43919,-7.705049
194,Timur Jembatan Yapah - B,110.439302,-7.705018
195,TK BIAS,110.401251,-7.724227
196,Toko Saerah - A,110.327786,-7.776179
197,Toko Saerah - B,110.327865,-7.776266
198,Transmart,110.420174,-7.783291
199,Tugu Batas Desa Yapah - A,110.442614,-7.703803
200,Tugu Batas Desa Yapah - B,110.442649,-7.70374
201,TVRI - A,110.361649,-7.765273
202,TVRI- B,110.361593,-7.765401
203,UII (Barat Jalan),110.418778,-7.687324
204,UII (Timur Jalan),110.418805,-7.68778
205,UIN Sunan Kalijaga - A,110.394844,-7.786192
206,UIN Sunan Kalijaga - B,110.394784,-7.785907
207,Universitas Aisyiyah,110.334536,-7.768221
208,Universitas BSI - A,110.325181,-7.802699
209,Universitas BSI - B,110.325265,-7.802875
210,UNRIYO - A,110.434167,-7.74633
211,UNRIYO - B,110.434216,-7.746301
212,UNY Colombo,110.386689,-7.777757
213,UPN Veteran,110.408133,-7.760641
214,UTY Ring Road Utara - A,110.356575,-7.747257
215,UTY Ring Road Utara - B,110.356516,-7.747158
216,Vokasi UGM,110.374977,-7.774525
217,Wedangan Kampoeng - A,110.413581,-7.702736
218,Wedangan Kampoeng - B,110.413572,-7.702816
219,Westlake - A,110.341112,-7.749237
220,Westlake - B,110.34083,-7.749627
221,YAKKUM - A,110.418017,-7.695592
222,YAKKUM - B,110.418121,-7.695489
